epoch,training_loss,validation_loss
1,2.1894066250610353,nan
2,1.6788291577148438,nan
3,1.08817869096756,nan
4,0.7688294480705261,nan
5,0.5906066713142395,0.43039318866729737
6,0.4764502873134613,nan
7,0.4043075476360321,nan
8,0.35493309701919556,nan
9,0.3254333811855316,nan
10,0.2941796977043152,0.24139828441143035
11,0.27647177446365356,nan
12,0.2536327987766266,nan
13,0.2353646750164032,nan
14,0.21780541116714477,nan
15,0.2042125574684143,0.17563242180347444
16,0.18957132293224335,nan
17,0.17946249908924103,nan
18,0.16623904803752898,nan
19,0.15640659774780274,nan
20,0.14996084171295165,0.13981917281150819
21,0.1409311682319641,nan
22,0.1345260582780838,nan
23,0.12538208919763566,nan
24,0.11806937757730485,nan
25,0.11268029450654983,0.11597849187850952
26,0.10629877436876296,nan
27,0.10130516402959823,nan
28,0.0968882071185112,nan
29,0.09172322722434997,nan
30,0.0880627006983757,0.09983197993040085
31,0.08208421813726426,nan
32,0.0788216281580925,nan
33,0.07571774295330047,nan
34,0.07072351897954941,nan
35,0.06619678607940674,0.0935092848777771
36,0.06427401760339736,nan
37,0.06163964601159096,nan
38,0.059008695385456084,nan
39,0.05783872072339058,nan
40,0.05441567156910896,0.08769780851602554
41,0.05409854022145271,nan
42,0.052030990505218505,nan
43,0.04792705789327621,nan
44,0.04645498014211655,nan
45,0.04529713682055473,0.08337735249996185
46,0.04152921952724457,nan
47,0.03989607378959656,nan
48,0.03889262684285641,nan
49,0.03707512880921364,nan
50,0.036002594730257985,0.08157623043060303
51,0.03390249613404274,nan
52,0.03211435023546219,nan
53,0.031395721959471705,nan
54,0.0282775451874733,nan
55,0.029402864349484442,0.08057633074522018
56,0.026193734661340715,nan
57,0.02635838127732277,nan
58,0.02576339689850807,nan
59,0.023572693245112897,nan
60,0.022706579586863517,0.08401865245103836
61,0.022095015987753867,nan
62,0.021145089333057403,nan
63,0.020448879669010638,nan
64,0.019310770124197005,nan
65,0.018832345091700554,0.08457689466476441
66,0.018271021647453308,nan
67,0.01830288261860609,nan
68,0.01691158176660538,nan
69,0.01638726332426071,nan
70,0.01605117279946804,0.08865641452074051
71,0.015635476191043853,nan
72,0.016985816640257834,nan
73,0.015195332314670086,nan
74,0.01365601516366005,nan
75,0.013904983950257301,0.08922955516576767
