target_arch,source_arch,mean_regret,var_regret,min_regret,max_regret
mlp_3x_252x32x16,mlp_3x_252x32x16,0.0,5.814857616808167e-06,-0.003543916325569149,0.0025700248789787272
mlp_3x_252x32x16,mlp_3x_248x32x92,0.004757229983806607,1.4664183776070917e-05,-0.00031393292427063513,0.00934633938789367
mlp_3x_252x32x16,mlp_3x_244x48x56,0.004757229983806607,1.4664183776070917e-05,-0.00031393292427063513,0.00934633938789367
mlp_3x_252x32x16,mlp_3x_216x120x84,0.01774043003082275,1.6177793705403736e-05,0.01383612532138824,0.0241463997554779
mlp_3x_252x32x16,mlp_3x_188x192x112,0.01774043003082275,1.6177793705403736e-05,0.01383612532138824,0.0241463997554779
mlp_3x_252x32x16,mlp_3x_160x264x140,0.022689416952133182,4.597345778040101e-05,0.014549078078269953,0.031883770890235905
mlp_3x_252x32x16,mlp_3x_160x204x224,0.018863501844406133,1.1236321047268274e-05,0.013865071053504943,0.022284756083488455
mlp_3x_252x32x16,mlp_3x_120x204x408,0.045906933703422526,6.026920081342604e-05,0.03669503855228423,0.05584474279403687
mlp_3x_248x32x92,mlp_3x_252x32x16,0.001281965181827549,2.821168516219616e-06,-0.001113468904495235,0.0033576423454284715
mlp_3x_248x32x92,mlp_3x_248x32x92,0.0,1.3048798167679584e-06,-0.0013370435190200869,0.0014521907854080224
mlp_3x_248x32x92,mlp_3x_244x48x56,0.0,1.3048798167679584e-06,-0.0013370435190200869,0.0014521907854080224
mlp_3x_248x32x92,mlp_3x_216x120x84,0.0027846635985374485,9.370789674357072e-06,-0.0015273742985725397,0.006482605509757988
mlp_3x_248x32x92,mlp_3x_188x192x112,0.0027846635985374485,9.370789674357072e-06,-0.0015273742985725397,0.006482605509757988
mlp_3x_248x32x92,mlp_3x_160x264x140,0.0055396136403083746,2.8100346219320326e-06,0.003372953193187714,0.008313429455757138
mlp_3x_248x32x92,mlp_3x_160x204x224,0.007281963250637055,9.125356970117889e-06,0.0030140724229812677,0.011535031931400291
mlp_3x_248x32x92,mlp_3x_120x204x408,0.01161594930887222,1.5365382461106675e-05,0.006740529077053067,0.017022308259010313
mlp_3x_244x48x56,mlp_3x_252x32x16,0.004066556618213646,3.4791315246958014e-06,0.0018646909666061307,0.007524714584350584
mlp_3x_244x48x56,mlp_3x_248x32x92,0.0,2.31225865615531e-06,-0.0014974536228180013,0.002890852017402648
mlp_3x_244x48x56,mlp_3x_244x48x56,0.0,2.31225865615531e-06,-0.0014974536228180013,0.002890852017402648
mlp_3x_244x48x56,mlp_3x_216x120x84,0.0037504642605781513,7.583429284001745e-06,0.00015883203268050872,0.008362912042140958
mlp_3x_244x48x56,mlp_3x_188x192x112,0.0037504642605781513,7.583429284001745e-06,0.00015883203268050872,0.008362912042140958
mlp_3x_244x48x56,mlp_3x_160x264x140,0.0068045093011856045,8.593555145881697e-06,0.0023746309709548885,0.010126637239456171
mlp_3x_244x48x56,mlp_3x_160x204x224,0.00550047820091247,8.779640401113536e-06,0.0017501597833633337,0.010758295745849605
mlp_3x_244x48x56,mlp_3x_120x204x408,0.015237739105224593,1.8722192765644167e-05,0.008257975382804858,0.02026519200325011
mlp_3x_216x120x84,mlp_3x_252x32x16,0.004496260364055635,3.2349005655828425e-06,0.0020012872242927554,0.006307033660411826
mlp_3x_216x120x84,mlp_3x_248x32x92,-0.00127927662134171,2.2933973155933805e-06,-0.004216327593326574,4.3556334972383315e-05
mlp_3x_216x120x84,mlp_3x_244x48x56,-0.00127927662134171,2.2933973155933805e-06,-0.004216327593326574,4.3556334972383315e-05
mlp_3x_216x120x84,mlp_3x_216x120x84,0.0,3.4769299545502497e-06,-0.002716473445892334,0.002797225501537326
mlp_3x_216x120x84,mlp_3x_188x192x112,0.0,3.4769299545502497e-06,-0.002716473445892334,0.002797225501537326
mlp_3x_216x120x84,mlp_3x_160x264x140,0.0016679687809944138,3.4924587795050698e-06,-0.0009307944035530091,0.0037744751358032153
mlp_3x_216x120x84,mlp_3x_160x204x224,0.0019937117648124725,2.1438954004327167e-06,-0.00034655644655227913,0.004017993404865264
mlp_3x_216x120x84,mlp_3x_120x204x408,0.005584014028310769,2.2505788870005085e-05,-0.0007614363229274806,0.011210424854755402
mlp_3x_188x192x112,mlp_3x_252x32x16,0.008152240529060356,1.8786651258921306e-06,0.006491537060737601,0.010265423383712766
mlp_3x_188x192x112,mlp_3x_248x32x92,0.003652201886177056,8.371786415294903e-06,0.0014439407849311803,0.009331629528999325
mlp_3x_188x192x112,mlp_3x_244x48x56,0.003652201886177056,8.371786415294903e-06,0.0014439407849311803,0.009331629528999325
mlp_3x_188x192x112,mlp_3x_216x120x84,0.0,9.366292314157309e-07,-0.0013834326601028513,0.001265459408760064
mlp_3x_188x192x112,mlp_3x_188x192x112,0.0,9.366292314157309e-07,-0.0013834326601028513,0.001265459408760064
mlp_3x_188x192x112,mlp_3x_160x264x140,0.0001406537246703976,4.1616619287089916e-07,-0.0007114103770256147,0.0010777654552459603
mlp_3x_188x192x112,mlp_3x_160x204x224,0.0033889751625060943,9.482164418867015e-06,-0.00255873449802399,0.006093300261497486
mlp_3x_188x192x112,mlp_3x_120x204x408,0.005045660238265984,1.7900003253718256e-05,-4.453597068798665e-06,0.012642100396156306
mlp_3x_160x264x140,mlp_3x_252x32x16,0.006918561289310454,9.92971353416768e-06,0.001997009437084196,0.011126013963222492
mlp_3x_160x264x140,mlp_3x_248x32x92,0.001558209841251365,2.046434945682738e-06,-0.00011890677928926008,0.0032605200815200713
mlp_3x_160x264x140,mlp_3x_244x48x56,0.001558209841251365,2.046434945682738e-06,-0.00011890677928926008,0.0032605200815200713
mlp_3x_160x264x140,mlp_3x_216x120x84,0.0009651371073722825,8.396870273562347e-06,-0.002743175132274636,0.004540886228084559
mlp_3x_160x264x140,mlp_3x_188x192x112,0.0009651371073722825,8.396870273562347e-06,-0.002743175132274636,0.004540886228084559
mlp_3x_160x264x140,mlp_3x_160x264x140,0.0,7.673136409454217e-06,-0.004440385873317729,0.002904979794025417
mlp_3x_160x264x140,mlp_3x_160x204x224,0.002611270596981033,1.7369971727263016e-05,-0.004038481743335737,0.008393375484943386
mlp_3x_160x264x140,mlp_3x_120x204x408,0.000983253901004788,1.392244095422341e-05,-0.004978398211002363,0.005730686156749723
mlp_3x_160x204x224,mlp_3x_252x32x16,0.00499200540065764,5.985388907833009e-06,0.001798037142753589,0.009113069815635672
mlp_3x_160x204x224,mlp_3x_248x32x92,0.0023002676486968965,7.0658452943105565e-06,2.453381538390642e-05,0.007430932636260976
mlp_3x_160x204x224,mlp_3x_244x48x56,0.0023002676486968965,7.0658452943105565e-06,2.453381538390642e-05,0.007430932636260976
mlp_3x_160x204x224,mlp_3x_216x120x84,-0.0021117416548728923,7.42745630986294e-06,-0.007313516609668738,0.0004973317575454606
mlp_3x_160x204x224,mlp_3x_188x192x112,-0.0021117416548728923,7.42745630986294e-06,-0.007313516609668738,0.0004973317575454606
mlp_3x_160x204x224,mlp_3x_160x264x140,-0.0003203447222709793,5.738408550116902e-06,-0.0029613779354095565,0.003787293024063096
mlp_3x_160x204x224,mlp_3x_160x204x224,0.0,4.9171122760141005e-06,-0.003754418437480936,0.002650948472023004
mlp_3x_160x204x224,mlp_3x_120x204x408,0.0018194235253333885,1.1633509938315863e-05,-0.004810765128135691,0.004547639913558943
mlp_3x_120x204x408,mlp_3x_252x32x16,0.003905673949718469,5.146529009310821e-06,0.0006353198146820116,0.007668702147006989
mlp_3x_120x204x408,mlp_3x_248x32x92,-0.0018149013519287022,1.1630115133707986e-05,-0.006401537790298464,0.0018011090254783646
mlp_3x_120x204x408,mlp_3x_244x48x56,-0.0018149013519287022,1.1630115133707986e-05,-0.006401537790298464,0.0018011090254783646
mlp_3x_120x204x408,mlp_3x_216x120x84,-0.0013460398864745954,2.5313131626015076e-06,-0.004121504738330839,0.0007932064032554614
mlp_3x_120x204x408,mlp_3x_188x192x112,-0.0013460398864745954,2.5313131626015076e-06,-0.004121504738330839,0.0007932064032554614
mlp_3x_120x204x408,mlp_3x_160x264x140,-4.1530396938327385e-05,5.920069040896423e-07,-0.0007524710440635629,0.0014087163186073254
mlp_3x_120x204x408,mlp_3x_160x204x224,-0.00010150589942932442,1.090928803834673e-05,-0.0029526135945320137,0.005450092039108276
mlp_3x_120x204x408,mlp_3x_120x204x408,0.0,1.8552692430617182e-06,-0.0020343596482276932,0.0022369916892051728
