target_arch,source_arch,mean_relative_regret
mlp_3x_252x32x16,mlp_3x_252x32x16,1.0
mlp_3x_252x32x16,mlp_3x_192x126x64,1.121127680760847
mlp_3x_252x32x16,mlp_3x_126x126x126,1.121127680760847
mlp_3x_252x32x16,mlp_3x_286x16x16,1.0
mlp_3x_192x126x64,mlp_3x_252x32x16,1.0396171799814906
mlp_3x_192x126x64,mlp_3x_192x126x64,1.0
mlp_3x_192x126x64,mlp_3x_126x126x126,1.0
mlp_3x_192x126x64,mlp_3x_286x16x16,1.0396171799814906
mlp_3x_126x126x126,mlp_3x_252x32x16,1.0888337412891462
mlp_3x_126x126x126,mlp_3x_192x126x64,1.0
mlp_3x_126x126x126,mlp_3x_126x126x126,1.0
mlp_3x_126x126x126,mlp_3x_286x16x16,1.0888337412891462
mlp_3x_286x16x16,mlp_3x_252x32x16,1.0
mlp_3x_286x16x16,mlp_3x_192x126x64,1.1929832567572887
mlp_3x_286x16x16,mlp_3x_126x126x126,1.1929832567572887
mlp_3x_286x16x16,mlp_3x_286x16x16,1.0
